"PARENT_SAMPLE_NAME","Gender","CLIENT_IDENTIFIER","NEG","POLAR","POS.EARLY","POS.LATE","BOX_NUMBER","CLIENT_MATRIX","CLIENT_SAMPLE_ID","CLIENT_SAMPLE_NUMBER","GROUP_ID","GROUP_NAME","SAMPLE_AMOUNT","SAMPLE_AMOUNT_UNITS","SAMPLE_BOX_LOCATION","SAMPLE_DESCRIPTION","TIME1","TIME_POINT","VOL_EXTRACTED","Sex","Blood.Volume"
"UNAZ-02846","Male","FS28908772",247376,247384,247380,247372,"FE00535389","EDTA Plasma",73,74,"WT_Onset","WT",150,"uL","D10","Mouse Plasma","Onset",2,100,NA,1
"UNAZ-02847","Female","FS28908750",247376,247384,247380,247372,"FE00535389","EDTA Plasma",34,77,"WT_End","WT",150,"uL","F7","Mouse Plasma","End",3,100,NA,0.5
"UNAZ-02848","Male","FS28908774",247376,247384,247380,247372,"FE00535389","EDTA Plasma",41,80,"WT_End","WT",150,"uL","F10","Mouse Plasma","End",3,100,NA,0.9
"UNAZ-02849","Female","FS28908783",247376,247384,247380,247372,"FE00535389","EDTA Plasma",39,83,"WT_End","WT",150,"uL","G11","Mouse Plasma","End",3,100,NA,0.6
"UNAZ-02850","Male","FS28908807",247376,247384,247380,247372,"FE00535389","EDTA Plasma",45,86,"WT_End","WT",150,"uL","H2","Mouse Plasma","End",3,100,NA,0.9
"UNAZ-02851","Female","FS28908753",247376,247384,247380,247372,"FE00535389","EDTA Plasma",11,3,"1902_PreSymp","1902",150,"uL","A5","Mouse Plasma","PreSymp",1,100,NA,0.6
"UNAZ-02852","Female","FS28898516",247376,247384,247380,247372,"FE00535389","EDTA Plasma",66,6,"1902_PreSymp","1902",150,"uL","B9","Mouse Plasma","PreSymp",1,100,NA,500
"UNAZ-02853","Male","FS28908723",247376,247384,247380,247372,"FE00535389","EDTA Plasma",90,9,"1902_PreSymp","1902",150,"uL","C4","Mouse Plasma","PreSymp",1,100,NA,400
"UNAZ-02854","Female","FS28908803",247376,247384,247380,247372,"FE00535389","EDTA Plasma",60,12,"1902_Onset","1902",150,"uL","D2","Mouse Plasma","Onset",2,100,NA,0.6
"UNAZ-02855","Male","FS28908804",247376,247384,247380,247372,"FE00535389","EDTA Plasma",77,15,"1902_Onset","1902",150,"uL","E2","Mouse Plasma","Onset",2,100,NA,0.8
"UNAZ-02856","Male","FS28908749",247376,247384,247380,247372,"FE00535389","EDTA Plasma",84,18,"1902_Onset","1902",150,"uL","E7","Mouse Plasma","Onset",2,100,NA,0.8
"UNAZ-02857","Female","FS28908781",247376,247384,247380,247372,"FE00535389","EDTA Plasma",4,21,"1902_End","1902",150,"uL","E11","Mouse Plasma","End",3,100,NA,0.55
"UNAZ-02858","Male","FS28908742",247376,247384,247380,247372,"FE00535389","EDTA Plasma",29,24,"1902_End","1902",150,"uL","F6","Mouse Plasma","End",3,100,NA,0.5
"UNAZ-02859","Female","FS28908743",247376,247384,247380,247372,"FE00535389","EDTA Plasma",15,27,"1902_End","1902",150,"uL","G6","Mouse Plasma","End",3,100,NA,0.6
"UNAZ-02860","Female","FS28908737",247376,247384,247380,247372,"FE00535389","EDTA Plasma",9,30,"Ctl_PreSymp","Control",150,"uL","A3","Mouse Plasma","PreSymp",1,100,NA,0.7
"UNAZ-02861","Male","FS28908777",247376,247384,247380,247372,"FE00535389","EDTA Plasma",24,33,"Ctl_PreSymp","Control",150,"uL","A8","Mouse Plasma","PreSymp",1,100,NA,0.85
"UNAZ-02862","Female","FS29250287",247376,247384,247380,247372,"FE00535389","EDTA Plasma",67,36,"Ctl_PreSymp","Control",150,"uL","B10","Mouse Plasma","PreSymp",1,100,NA,700
"UNAZ-02863","Male","FS28908810",247376,247384,247380,247372,"FE00535389","EDTA Plasma",89,39,"Ctl_PreSymp","Control",150,"uL","C3","Mouse Plasma","PreSymp",1,100,NA,850
"UNAZ-02864","Female","FS28908811",247376,247384,247380,247372,"FE00535389","EDTA Plasma",61,42,"Ctl_Onset","Control",150,"uL","D3","Mouse Plasma","Onset",2,100,NA,0.6
"UNAZ-02865","Male","FS28908796",247376,247384,247380,247372,"FE00535389","EDTA Plasma",76,45,"Ctl_Onset","Control",150,"uL","E1","Mouse Plasma","Onset",2,100,NA,0.8
"UNAZ-02866","Male","FS28908757",247376,247384,247380,247372,"FE00535389","EDTA Plasma",85,48,"Ctl_Onset","Control",150,"uL","E8","Mouse Plasma","Onset",2,100,NA,0.85
"UNAZ-02867","Male","FS28908726",247376,247384,247380,247372,"FE00535389","EDTA Plasma",27,51,"Ctl_End","Control",150,"uL","F4","Mouse Plasma","End",3,100,NA,0.7
"UNAZ-02868","Female","FS28908814",247376,247384,247380,247372,"FE00535389","EDTA Plasma",8,54,"Ctl_End","Control",150,"uL","G3","Mouse Plasma","End",3,100,NA,0.5
"UNAZ-02869","Male","FS28908775",247376,247384,247380,247372,"FE00535389","EDTA Plasma",23,57,"Ctl_End","Control",150,"uL","G10","Mouse Plasma","End",3,100,NA,0.65
"UNAZ-02870","Female","FS28908809",247376,247384,247380,247372,"FE00535389","EDTA Plasma",33,60,"WT_PreSymp","WT",150,"uL","A12","Mouse Plasma","PreSymp",1,100,NA,0.7
"UNAZ-02871","Male","FS28908738",247376,247384,247380,247372,"FE00535389","EDTA Plasma",46,63,"WT_PreSymp","WT",150,"uL","B3","Mouse Plasma","PreSymp",1,100,NA,1
"UNAZ-02872","Male","FS28908770",247376,247384,247380,247372,"FE00535389","EDTA Plasma",50,66,"WT_PreSymp","WT",150,"uL","B6","Mouse Plasma","PreSymp",1,100,NA,0.75
"UNAZ-02873","Female","FS28908747",247376,247384,247380,247372,"FE00535389","EDTA Plasma",53,69,"WT_Onset","WT",150,"uL","C7","Mouse Plasma","Onset",2,100,NA,0.7
"UNAZ-02874","Male","FS28908748",247376,247384,247380,247372,"FE00535389","EDTA Plasma",71,72,"WT_Onset","WT",150,"uL","D8","Mouse Plasma","Onset",2,100,NA,0.4
"UNAZ-02875","Male","FS28908780",247376,247384,247380,247372,"FE00535389","EDTA Plasma",74,75,"WT_Onset","WT",150,"uL","D11","Mouse Plasma","Onset",2,100,NA,1.5
"UNAZ-02876","Female","FS28908758",247376,247384,247380,247372,"FE00535389","EDTA Plasma",37,78,"WT_End","WT",150,"uL","F8","Mouse Plasma","End",3,100,NA,0.7
"UNAZ-02877","Male","FS28908782",247376,247384,247380,247372,"FE00535389","EDTA Plasma",42,81,"WT_End","WT",150,"uL","F11","Mouse Plasma","End",3,100,NA,0.7
"UNAZ-02878","Female","FS28908791",247376,247384,247380,247372,"FE00535389","EDTA Plasma",40,84,"WT_End","WT",150,"uL","G12","Mouse Plasma","End",3,100,NA,0.6
